"","DOI","metric","value","year","journal","journal2"
"2065","10.1111/j.1365-2656.2010.01725.x","CiteULike_bookmarks",2,2010,"Journal of Animal Ecology","J Anim Ecol"
"2066","10.1111/j.1365-2656.2010.01725.x","Mendeley_groups",1,2010,"Journal of Animal Ecology","J Anim Ecol"
"2067","10.1111/j.1365-2656.2010.01725.x","Mendeley_readers",48,2010,"Journal of Animal Ecology","J Anim Ecol"
"2068","10.1046/j.1365-2656.1999.00358.x","Mendeley_groups",1,1999,"Journal of Animal Ecology","J Anim Ecol"
"2069","10.1046/j.1365-2656.1999.00358.x","CiteULike_bookmarks",1,1999,"Journal of Animal Ecology","J Anim Ecol"
"2070","10.1046/j.1365-2656.1999.00358.x","Mendeley_readers",13,1999,"Journal of Animal Ecology","J Anim Ecol"
"2071","10.1111/j.1365-2656.2009.01531.x","Mendeley_readers",57,2009,"Journal of Animal Ecology","J Anim Ecol"
"2072","10.1111/j.1365-2656.2009.01531.x","Mendeley_groups",1,2009,"Journal of Animal Ecology","J Anim Ecol"
"2073","10.1111/j.1365-2656.2005.00962.x","CiteULike_bookmarks",3,2005,"Journal of Animal Ecology","J Anim Ecol"
"2074","10.1111/j.1365-2656.2005.00962.x","Mendeley_readers",61,2005,"Journal of Animal Ecology","J Anim Ecol"
"2075","10.1111/j.1365-2656.2005.00962.x","Mendeley_groups",2,2005,"Journal of Animal Ecology","J Anim Ecol"
"2076","10.1111/j.1365-2656.2005.00970.x","Mendeley_groups",4,2005,"Journal of Animal Ecology","J Anim Ecol"
"2077","10.1111/j.1365-2656.2005.00970.x","Mendeley_readers",67,2005,"Journal of Animal Ecology","J Anim Ecol"
"2078","10.2307/5503","Mendeley_groups",3,1992,"The Journal of Animal Ecology","J Anim Ecol"
"2079","10.2307/5503","Mendeley_groups",3,1992,"The Journal of Animal Ecology","J Anim Ecol"
"2080","10.2307/5503","Mendeley_readers",76,1992,"The Journal of Animal Ecology","J Anim Ecol"
"2081","10.2307/5503","Mendeley_readers",76,1992,"The Journal of Animal Ecology","J Anim Ecol"
"2082","10.1111/j.1365-2656.2010.01688.x","Mendeley_readers",45,2010,"Journal of Animal Ecology","J Anim Ecol"
"2083","10.1111/j.1365-2656.2010.01688.x","Mendeley_groups",1,2010,"Journal of Animal Ecology","J Anim Ecol"
"2084","10.1111/j.1365-2656.2010.01688.x","CiteULike_bookmarks",2,2010,"Journal of Animal Ecology","J Anim Ecol"
"2085","10.2307/3933","Wikipedia_mentions",1,1978,"The Journal of Animal Ecology","J Anim Ecol"
"2086","10.2307/3933","Mendeley_readers",72,1978,"The Journal of Animal Ecology","J Anim Ecol"
"2087","10.2307/3933","Mendeley_groups",2,1978,"The Journal of Animal Ecology","J Anim Ecol"
"2088","10.1111/j.1365-2656.2005.00959.x","Mendeley_readers",58,2005,"Journal of Animal Ecology","J Anim Ecol"
"2089","10.1111/j.1365-2656.2005.00959.x","Mendeley_groups",1,2005,"Journal of Animal Ecology","J Anim Ecol"
"2090","10.1111/j.1365-2656.2011.01803.x","Mendeley_readers",42,2011,"Journal of Animal Ecology","J Anim Ecol"
"2091","10.1111/j.1365-2656.2011.01803.x","Mendeley_groups",1,2011,"Journal of Animal Ecology","J Anim Ecol"
"2092","10.1046/j.0021-8790.2001.00552.x","Mendeley_groups",2,2001,"Journal of Animal Ecology","J Anim Ecol"
"2093","10.1046/j.0021-8790.2001.00552.x","Mendeley_readers",68,2001,"Journal of Animal Ecology","J Anim Ecol"
"2094","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2095","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2096","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2097","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2098","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2099","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2100","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2101","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2102","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2103","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2104","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2105","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2106","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2107","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2108","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2109","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2110","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2111","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2112","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2113","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2114","10.2307/5542","Wikipedia_mentions",1,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2115","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2116","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2117","10.2307/5542","Mendeley_groups",3,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2118","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2119","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2120","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2121","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2122","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2123","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2124","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2125","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2126","10.2307/5542","CiteULike_bookmarks",2,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2127","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2128","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2129","10.2307/5542","Mendeley_readers",62,1994,"The Journal of Animal Ecology","J Anim Ecol"
"2130","10.1111/j.1365-2656.2010.01753.x","Mendeley_groups",3,2011,"Journal of Animal Ecology","J Anim Ecol"
"2131","10.1111/j.1365-2656.2010.01753.x","Mendeley_readers",36,2011,"Journal of Animal Ecology","J Anim Ecol"
"2132","10.1111/j.0021-8790.2004.00828.x","Mendeley_readers",49,2004,"Journal of Animal Ecology","J Anim Ecol"
"2133","10.1111/j.0021-8790.2004.00828.x","Mendeley_readers",49,2004,"Journal of Animal Ecology","J Anim Ecol"
"2134","10.1111/j.0021-8790.2004.00828.x","Mendeley_groups",1,2004,"Journal of Animal Ecology","J Anim Ecol"
"2135","10.1111/j.0021-8790.2004.00828.x","Mendeley_groups",1,2004,"Journal of Animal Ecology","J Anim Ecol"
"2136","10.1111/j.0021-8790.2004.00828.x","Mendeley_groups",1,2004,"Journal of Animal Ecology","J Anim Ecol"
